Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Cote d'Ivoire,26/04/2022 9:20,7.54,-5.5471,81898,799,49642,,310.4751922,,,0.9756038,384,CIV,184,3
Ecuador,26/04/2022 9:20,-1.8312,-78.1834,868285,35581,443880,,4921.396855,,,4.097848057,218,ECU,10986,163
Holy See,26/04/2022 9:20,41.9029,12.4534,29,0,27,,3584.672435,,,0,336,VAT,0,0
"Korea, South",26/04/2022 9:20,35.907757,127.766922,17009865,22325,180719,,33177.56205,,,0.131247367,410,KOR,4659437,6820
Kosovo,26/04/2022 9:20,42.602636,20.902977,227984,3138,105688,,12593.25462,,,1.37641238,383,XKS,607,6
Norway,26/04/2022 9:20,60.472,8.4689,1424180,2871,17998,,26270.36388,,,0.201589687,578,NOR,24466,532
Peru,26/04/2022 9:20,-9.19,-75.0152,3561677,212761,2086086,,10802.1765,,,5.973618607,604,PER,16049,604
Portugal,26/04/2022 9:20,39.3999,-8.2245,3791744,22162,912620,,37185.96602,,,0.584480387,620,PRT,257741,617
Sierra Leone,26/04/2022 9:20,8.460555,-11.779889,7681,125,4287,,96.28951289,,,1.627392267,694,SLE,7,0
Sudan,26/04/2022 9:20,12.8628,30.2176,62093,4930,30647,,141.6055533,,,7.939703348,729,SDN,177,28
Summer Olympics 2020,26/04/2022 9:20,35.6491,139.7737,865,0,0.00,,,,,0,2020,,0,0
Tanzania,26/04/2022 9:20,-6.369028,34.888822,33864,803,183,,56.69112942,,,2.371249705,834,TZA,67,3
Tunisia,26/04/2022 9:20,33.886917,9.537499,1039532,28533,530545,,8795.71537,,,2.744792849,788,TUN,5801,368
Ukraine,01/03/2022 23:21,48.3794,31.1656,5040518,112459,2258433,,11525.46252,,,2.231100058,804,UKR,0,0
Vietnam,26/04/2022 9:20,14.058324,108.277199,10571772,43021,54332,,10860.82381,,,0.406942185,704,VNM,1296923,663
West Bank and Gaza,26/04/2022 9:20,31.9522,35.2332,656876,5657,312320,,12876.34649,,,0.861197547,275,PSE,1126,2
Winter Olympics 2022,26/04/2022 9:20,39.9042,116.4074,535,0,0.00,,,,,0,2022,,0,0
